YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,0,0,58850,CARGURUS
2015,9,42800,26888,CARGURUS
2019,5,8986,39511,CARGURUS
2016,8,21133,30591,CARGURUS
2020,4,8629,33382,CARGURUS
2012,12,63702,26865,CARGURUS
2017,7,33000,24900,CRAIGSLIST
2015,9,34000,29900,CRAIGSLIST
2016,8,66000,27998,CRAIGSLIST
2020,4,44000,34985,CRAIGSLIST
2019,5,24000,34750,CRAIGSLIST
2024,0,5000,46165,CRAIGSLIST
2023,1,11,58925,AUTOTRADER
2014,10,14600,29000,AUTOTRADER
2012,12,81000,17500,AUTOTRADER
2021,3,12107,37249,AUTOTRADER
2004,20,126635,11900,AUTOTRADER
2013,11,43350,24000,AUTOTRADER